WEG_B

 ======== test get_l2 ========= 

2026-02-10 16:51:13,969; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/WEG_B.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:51:14,021; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'WEG_B.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:51:14,135; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_B_300534060529310_1.txt
2026-02-10 16:51:14,176; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_300534060529310_1.txt
2026-02-10 16:51:14,188; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_B_300534063815810_2.txt
2026-02-10 16:51:14,266; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_300534063815810_2.txt
2026-02-10 16:51:14,267; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_B_300234065157600_3.txt
2026-02-10 16:51:14,312; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_300234065157600_3.txt
2026-02-10 16:51:14,339; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:51:16,098; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:51:16,808; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
