NAE

 ======== test get_l2 ========= 

2026-02-10 16:10:57,032; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/NAE.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:10:57,093; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'NAE.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:10:57,115; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534063815700_1.txt
2026-02-10 16:10:57,120; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534063815700_1.txt
2026-02-10 16:10:57,159; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NAE_300534063815700_1.txt
2026-02-10 16:10:57,170; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534063819800_2.txt
2026-02-10 16:10:57,284; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NAE_300534063819800_2.txt
2026-02-10 16:10:57,286; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534062416350_3.txt
2026-02-10 16:10:57,348; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534062416350_3.txt
2026-02-10 16:10:57,469; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NAE_300534062416350_3.txt
2026-02-10 16:10:57,485; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:10:59,181; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:11:00,244; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:11:00,903; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 57/23314
2026-02-10 16:11:01,227; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 38/23314
2026-02-10 16:11:01,265; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_l (tol=3.0, factor=2.2): filtering 40/23314
2026-02-10 16:11:01,583; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_l (tol=3.0, factor=2.2): filtering 33/23314
2026-02-10 16:11:01,621; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 48/23314
2026-02-10 16:11:01,946; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 30/23314
2026-02-10 16:11:01,983; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_l (tol=2.0, factor=3.5): filtering 46/23314
2026-02-10 16:11:02,304; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_l (tol=2.0, factor=3.5): filtering 33/23314
2026-02-10 16:11:02,342; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 56/23314
2026-02-10 16:11:02,661; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 29/23314
2026-02-10 16:11:02,698; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_l (tol=0.5, factor=2.0): filtering 5/23314
2026-02-10 16:11:03,014; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_l (tol=0.5, factor=2.0): filtering 0/23314
2026-02-10 16:11:03,046; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 0/23314
2026-02-10 16:11:03,359; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 15/23314
2026-02-10 16:11:03,670; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 6/23314
2026-02-10 16:11:03,705; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 20/23314
2026-02-10 16:11:04,027; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 11/23314
2026-02-10 16:11:04,062; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 20/23314
2026-02-10 16:11:04,385; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 10/23314
2026-02-10 16:11:04,420; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 18/23314
2026-02-10 16:11:04,736; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 8/23314
2026-02-10 16:11:04,772; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 27/23314
2026-02-10 16:11:05,089; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 11/23314
2026-02-10 16:11:05,124; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 15/23314
2026-02-10 16:11:05,442; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 11/23314
2026-02-10 16:11:05,478; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 19/23314
2026-02-10 16:11:05,797; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 9/23314
2026-02-10 16:11:05,832; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 21/23314
2026-02-10 16:11:06,147; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 12/23314
2026-02-10 16:11:06,181; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_9 (tol=0.5, factor=1.5): filtering 3/23314
2026-02-10 16:11:06,498; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_9 (tol=0.5, factor=1.5): filtering 4/23314
2026-02-10 16:11:06,526; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 5/23314
2026-02-10 16:11:06,836; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 4/23314
2026-02-10 16:11:06,860; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_l (tol=1.0, factor=2.0): filtering 18/23314
2026-02-10 16:11:07,166; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_l (tol=1.0, factor=2.0): filtering 27/23314
2026-02-10 16:11:07,201; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 5/23314
2026-02-10 16:11:07,522; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 7/23314
2026-02-10 16:11:07,559; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 11/23314
2026-02-10 16:11:07,883; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 8/23314
2026-02-10 16:11:07,920; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 7/23314
2026-02-10 16:11:08,240; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 1/23314
2026-02-10 16:11:08,274; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 3/23314
2026-02-10 16:11:08,586; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/23314
2026-02-10 16:11:08,875; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NAE.csv
2026-02-10 16:11:09,391; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NAE.csv
2026-02-10 16:11:09,412; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-26 00:00:00 2023-10-04 00:00:00 dlr with RIME, flagged 193/23314
2026-02-10 16:11:09,417; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-26 00:00:00 2023-10-04 00:00:00 ulr with RIME, flagged 193/23314
2026-02-10 16:11:09,421; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-26 00:00:00 2023-10-04 00:00:00 dsr with RIME, flagged 193/23314
2026-02-10 16:11:09,426; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-26 00:00:00 2023-10-04 00:00:00 usr with RIME, flagged 193/23314
2026-02-10 16:11:09,431; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-23 00:00:00 2023-11-23 00:00:00 dlr with RIME, flagged 745/23314
2026-02-10 16:11:09,435; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-23 00:00:00 2023-11-23 00:00:00 ulr with RIME, flagged 745/23314
2026-02-10 16:11:09,439; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-23 00:00:00 2023-11-23 00:00:00 dsr with RIME, flagged 745/23314
2026-02-10 16:11:09,444; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-23 00:00:00 2023-11-23 00:00:00 usr with RIME, flagged 745/23314
2026-02-10 16:11:09,449; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-04 00:00:00 2023-12-13 00:00:00 dlr with RIME, flagged 217/23314
2026-02-10 16:11:09,453; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-04 00:00:00 2023-12-13 00:00:00 ulr with RIME, flagged 217/23314
2026-02-10 16:11:09,458; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-04 00:00:00 2023-12-13 00:00:00 dsr with RIME, flagged 217/23314
2026-02-10 16:11:09,463; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-04 00:00:00 2023-12-13 00:00:00 usr with RIME, flagged 217/23314
2026-02-10 16:11:09,468; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-19 00:00:00 2023-12-26 00:00:00 dlr with RIME, flagged 169/23314
2026-02-10 16:11:09,472; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-19 00:00:00 2023-12-26 00:00:00 ulr with RIME, flagged 169/23314
2026-02-10 16:11:09,477; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-19 00:00:00 2023-12-26 00:00:00 dsr with RIME, flagged 169/23314
2026-02-10 16:11:09,481; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-19 00:00:00 2023-12-26 00:00:00 usr with RIME, flagged 169/23314
2026-02-10 16:11:09,486; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-31 00:00:00 2024-01-19 00:00:00 dlr with RIME, flagged 457/23314
2026-02-10 16:11:09,491; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-31 00:00:00 2024-01-19 00:00:00 ulr with RIME, flagged 457/23314
2026-02-10 16:11:09,495; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-31 00:00:00 2024-01-19 00:00:00 dsr with RIME, flagged 457/23314
2026-02-10 16:11:09,501; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-31 00:00:00 2024-01-19 00:00:00 usr with RIME, flagged 457/23314
2026-02-10 16:11:09,510; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-24 00:00:00 2024-05-04 00:00:00 dlr with RIME, flagged 2319/23314
2026-02-10 16:11:09,519; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-24 00:00:00 2024-05-04 00:00:00 ulr with RIME, flagged 2319/23314
