TAS_Av3

 ======== test get_l2 ========= 

2026-02-10 16:43:21,936; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-12 06:00:00 2024-09-18 00:00:00 t_i_6 with NAN, flagged 139/12318
2026-02-10 16:43:21,942; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-12 06:00:00 2024-09-18 00:00:00 t_i_7 with NAN, flagged 139/12318
2026-02-10 16:43:21,947; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-12 06:00:00 2024-09-18 00:00:00 t_i_8 with NAN, flagged 139/12318
2026-02-10 16:43:21,954; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-25 23:35:00 2025-09-08 15:00:00 wspd_i with NAN, flagged 7558/12318
2026-02-10 16:43:21,959; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-25 23:35:00 2025-09-08 15:00:00 wspd_u with NAN, flagged 7558/12318
2026-02-10 16:43:21,964; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-25 23:35:00 2025-09-08 15:00:00 wdir_i with NAN, flagged 7558/12318
2026-02-10 16:43:21,969; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-25 23:35:00 2025-09-08 15:00:00 wdir_u with NAN, flagged 7558/12318
2026-02-10 16:43:21,974; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-12 06:00:00 2025-09-18 00:00:00 z_pt_cor with NAN, flagged 8831/12318
2026-02-10 16:43:22,233; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_Av3.csv
2026-02-10 16:43:22,250; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-01-01 00:00:00 2025-03-01 00:00:00 t_i max_filter -0.1 flagged 1/12318
2026-02-10 16:43:22,254; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-09-01 00:00:00 2025-10-01 00:00:00 t_i max_filter 5.0 flagged 1/12318
2026-02-10 16:43:22,258; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-10-02 00:00:00 2025-10-08 00:00:00 t_i max_filter -0.1 flagged 3/12318
2026-02-10 16:43:22,262; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-10-19 00:00:00 2025-11-14 00:00:00 t_i max_filter -0.5 flagged 6/12318
2026-02-10 16:43:22,266; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-11-15 00:00:00 2025-11-18 00:00:00 t_i max_filter -0.5 flagged 2/12318
2026-02-10 16:43:22,269; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-11-21 00:00:00 2025-12-21 00:00:00 t_i max_filter -0.5 flagged 8/12318
2026-02-10 16:43:22,273; DEBUG; pypromice.core.qc.github_data_issues; ---> 2026-01-01 00:00:00 2026-03-01 00:00:00 t_i max_filter 0.5 flagged 2/12318
2026-02-10 16:43:22,278; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_1 min_filter -20.0 flagged 1/12318
2026-02-10 16:43:22,283; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_2 min_filter -20.0 flagged 1/12318
2026-02-10 16:43:22,288; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_3 min_filter -20.0 flagged 1/12318
2026-02-10 16:43:22,293; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_4 min_filter -20.0 flagged 1/12318
2026-02-10 16:43:22,298; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_5 min_filter -20.0 flagged 1/12318
2026-02-10 16:43:22,303; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_6 min_filter -20.0 flagged 1/12318
2026-02-10 16:43:22,307; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_7 min_filter -20.0 flagged 1/12318
2026-02-10 16:43:22,312; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_8 min_filter -20.0 flagged 1/12318
2026-02-10 16:43:22,317; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-01-01 00:00:00 2025-03-01 00:00:00 t_u max_filter -0.1 flagged 0/12318
2026-02-10 16:43:22,321; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-09-01 00:00:00 2026-03-01 00:00:00 t_u min_filter -20.0 flagged 0/12318
2026-02-10 16:43:22,324; DEBUG; pypromice.core.qc.github_data_issues; ---> 2026-01-01 00:00:00 2026-01-06 00:00:00 t_u min_filter -19.0 flagged 0/12318
2026-02-10 16:43:22,329; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u max_filter 3.0 flagged 81/12318
2026-02-10 16:43:23,440; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:43:23,565; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:43:23,653; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:43:25,334; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/TAS_Av3/TAS_Av3_hour.csv
2026-02-10 16:43:25,335; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/TAS_Av3/TAS_Av3_hour.nc
2026-02-10 16:43:25,336; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//raw/config/TAS_Av3.toml, inpath=../aws-l0//raw/TAS_Av3/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:43:25,385; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'TAS_Av3.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:43:25,398; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_Av3/TAS_Av3_2025_raw.txt
2026-02-10 16:43:25,547; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_Av3/TAS_Av3_2025_raw.txt
2026-02-10 16:43:25,800; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_Av3_2025_raw.txt
2026-02-10 16:43:25,807; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:43:26,672; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:43:28,303; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:43:29,000; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 17/52398
2026-02-10 16:43:29,556; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 0/52398
2026-02-10 16:43:29,600; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 32/52398
2026-02-10 16:43:30,171; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 4/52398
2026-02-10 16:43:30,213; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 7/52398
2026-02-10 16:43:30,772; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 1/52398
2026-02-10 16:43:30,800; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 7/52398
2026-02-10 16:43:31,352; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 2/52398
2026-02-10 16:43:31,412; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 9/52398
2026-02-10 16:43:32,002; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 0/52398
2026-02-10 16:43:32,063; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 13/52398
2026-02-10 16:43:32,651; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 4/52398
2026-02-10 16:43:32,710; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 9/52398
2026-02-10 16:43:33,302; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 2/52398
2026-02-10 16:43:33,364; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 14/52398
2026-02-10 16:43:33,965; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/52398
2026-02-10 16:43:34,029; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 13/52398
2026-02-10 16:43:34,633; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 2/52398
2026-02-10 16:43:34,693; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 11/52398
2026-02-10 16:43:35,271; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 6/52398
2026-02-10 16:43:35,330; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 19/52398
2026-02-10 16:43:35,911; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 2/52398
2026-02-10 16:43:35,973; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 21/52398
2026-02-10 16:43:36,563; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 4/52398
2026-02-10 16:43:36,583; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/52398
2026-02-10 16:43:37,134; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/52398
2026-02-10 16:43:37,675; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/52398
2026-02-10 16:43:38,221; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/52398
2026-02-10 16:43:39,301; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_Av3.csv
2026-02-10 16:43:40,124; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/TAS_Av3.csv
2026-02-10 16:43:40,143; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2024-09-18 00:00:00 t_i_1 with NAN, flagged 1203/52398
2026-02-10 16:43:40,149; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2024-09-18 00:00:00 t_i_2 with NAN, flagged 1203/52398
2026-02-10 16:43:40,155; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2024-09-18 00:00:00 t_i_3 with NAN, flagged 1203/52398
2026-02-10 16:43:40,161; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2024-09-18 00:00:00 t_i_4 with NAN, flagged 1203/52398
2026-02-10 16:43:40,167; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2024-09-18 00:00:00 t_i_5 with NAN, flagged 1203/52398
2026-02-10 16:43:40,173; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2024-09-18 00:00:00 t_i_6 with NAN, flagged 1203/52398
2026-02-10 16:43:40,178; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2024-09-18 00:00:00 t_i_7 with NAN, flagged 1203/52398
2026-02-10 16:43:40,184; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2024-09-18 00:00:00 t_i_8 with NAN, flagged 1203/52398
2026-02-10 16:43:40,192; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-25 23:35:00 2025-09-08 15:00:00 wspd_i with NAN, flagged 45726/52398
2026-02-10 16:43:40,199; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-25 23:35:00 2025-09-08 15:00:00 wspd_u with NAN, flagged 45726/52398
2026-02-10 16:43:40,205; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-25 23:35:00 2025-09-08 15:00:00 wdir_i with NAN, flagged 45726/52398
2026-02-10 16:43:40,212; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-25 23:35:00 2025-09-08 15:00:00 wdir_u with NAN, flagged 45726/52398
2026-02-10 16:43:40,219; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-09 15:40:00 2025-09-18 00:00:00 z_pt_cor with NAN, flagged 52398/52398
2026-02-10 16:43:41,036; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_Av3.csv
2026-02-10 16:43:41,056; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-01-01 00:00:00 2025-03-01 00:00:00 t_i max_filter -0.1 flagged 0/52398
2026-02-10 16:43:41,060; DEBUG; pypromice.core.qc.github_data_issues; ---> 2025-09-01 00:00:00 2025-10-01 00:00:00 t_i max_filter 5.0 flagged 0/52398
2026-02-10 16:43:41,062; INFO; pypromice.core.qc.github_data_issues; ---> 2025-10-02 00:00:00 2025-10-08 00:00:00 t_i max_filter -0.1
2026-02-10 16:43:41,062; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:43:41,062; INFO; pypromice.core.qc.github_data_issues; ---> 2025-10-19 00:00:00 2025-11-14 00:00:00 t_i max_filter -0.5
2026-02-10 16:43:41,062; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:43:41,063; INFO; pypromice.core.qc.github_data_issues; ---> 2025-11-15 00:00:00 2025-11-18 00:00:00 t_i max_filter -0.5
2026-02-10 16:43:41,063; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:43:41,063; INFO; pypromice.core.qc.github_data_issues; ---> 2025-11-21 00:00:00 2025-12-21 00:00:00 t_i max_filter -0.5
2026-02-10 16:43:41,063; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 16:43:41,063; INFO; pypromice.core.qc.github_data_issues; ---> 2026-01-01 00:00:00 2026-03-01 00:00:00 t_i max_filter 0.5
