KAN_U

 ======== test get_l2 ========= 

2026-02-10 16:02:08,548; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_l (tol=0.5, factor=2.0): filtering 0/14661
2026-02-10 16:02:08,580; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 10/14661
2026-02-10 16:02:08,786; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 0/14661
2026-02-10 16:02:08,815; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 15/14661
2026-02-10 16:02:09,015; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 4/14661
2026-02-10 16:02:09,043; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 21/14661
2026-02-10 16:02:09,243; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 9/14661
2026-02-10 16:02:09,271; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 23/14661
2026-02-10 16:02:09,476; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 8/14661
2026-02-10 16:02:09,516; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 34/14661
2026-02-10 16:02:09,716; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 6/14661
2026-02-10 16:02:09,744; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 16/14661
2026-02-10 16:02:09,940; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 10/14661
2026-02-10 16:02:09,970; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 12/14661
2026-02-10 16:02:10,170; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/14661
2026-02-10 16:02:10,198; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 16/14661
2026-02-10 16:02:10,414; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 12/14661
2026-02-10 16:02:10,466; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 20/14661
2026-02-10 16:02:10,666; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 10/14661
2026-02-10 16:02:10,695; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_9 (tol=0.5, factor=1.5): filtering 14/14661
2026-02-10 16:02:10,889; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_9 (tol=0.5, factor=1.5): filtering 5/14661
2026-02-10 16:02:10,916; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 15/14661
2026-02-10 16:02:11,121; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 4/14661
2026-02-10 16:02:11,155; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 1/14661
2026-02-10 16:02:11,353; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/14661
2026-02-10 16:02:11,383; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 6/14661
2026-02-10 16:02:11,580; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 2/14661
2026-02-10 16:02:11,611; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 3/14661
2026-02-10 16:02:11,811; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/14661
2026-02-10 16:02:11,840; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 9/14661
2026-02-10 16:02:12,038; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 1/14661
2026-02-10 16:02:12,218; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_U.csv
2026-02-10 16:02:12,575; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_U.csv
2026-02-10 16:02:12,641; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-03 00:00:00 2009-10-07 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,646; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-03 00:00:00 2009-10-07 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,649; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-03 00:00:00 2009-10-07 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,652; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-03 00:00:00 2009-10-07 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,656; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-11-25 00:00:00 2009-11-28 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,659; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-11-25 00:00:00 2009-11-28 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,662; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-11-25 00:00:00 2009-11-28 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,665; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-11-25 00:00:00 2009-11-28 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,668; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-10-20 00:00:00 2011-10-23 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,671; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-10-20 00:00:00 2011-10-23 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,674; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-10-20 00:00:00 2011-10-23 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,677; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-10-20 00:00:00 2011-10-23 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,681; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-29 00:00:00 2012-01-31 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,684; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-29 00:00:00 2012-01-31 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,687; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-29 00:00:00 2012-01-31 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,690; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-29 00:00:00 2012-01-31 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,694; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-11-07 00:00:00 2012-11-11 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,697; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-11-07 00:00:00 2012-11-11 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,700; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-11-07 00:00:00 2012-11-11 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,703; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-11-07 00:00:00 2012-11-11 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,706; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-17 00:00:00 2012-12-19 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,709; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-17 00:00:00 2012-12-19 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,712; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-17 00:00:00 2012-12-19 00:00:00 dsr with RIME, flagged 0/14661
