ZAC_A

 ======== test get_l2 ========= 

2026-02-10 16:57:09,701; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/ZAC_A.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:57:09,754; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'ZAC_A.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:57:09,779; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_A_300534062419950_1.txt
2026-02-10 16:57:09,814; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_A_300534062419950_1.txt
2026-02-10 16:57:09,827; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_A_300534063817770_2.txt
2026-02-10 16:57:09,865; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_A_300534063817770_2.txt
2026-02-10 16:57:09,873; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:57:10,869; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:57:11,084; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:57:11,424; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_l (tol=1.0, factor=2.0): filtering 10/3563
2026-02-10 16:57:11,483; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_l (tol=1.0, factor=2.0): filtering 1/3563
2026-02-10 16:57:11,502; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 7/3563
2026-02-10 16:57:11,565; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 0/3563
2026-02-10 16:57:11,584; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_l (tol=3.0, factor=2.2): filtering 0/3563
2026-02-10 16:57:11,647; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/3563
2026-02-10 16:57:11,709; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_l (tol=2.0, factor=3.5): filtering 0/3563
2026-02-10 16:57:11,786; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/3563
2026-02-10 16:57:11,895; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_l (tol=0.5, factor=2.0): filtering 1/3563
2026-02-10 16:57:11,964; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_l (tol=0.5, factor=2.0): filtering 0/3563
2026-02-10 16:57:11,982; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 0/3563
2026-02-10 16:57:12,045; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 3/3563
2026-02-10 16:57:12,105; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 2/3563
2026-02-10 16:57:12,124; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 4/3563
2026-02-10 16:57:12,184; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 1/3563
2026-02-10 16:57:12,203; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 7/3563
2026-02-10 16:57:12,263; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 5/3563
2026-02-10 16:57:12,281; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 10/3563
2026-02-10 16:57:12,340; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 4/3563
2026-02-10 16:57:12,364; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 11/3563
2026-02-10 16:57:12,426; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 4/3563
2026-02-10 16:57:12,445; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 8/3563
2026-02-10 16:57:12,506; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 2/3563
2026-02-10 16:57:12,525; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 7/3563
2026-02-10 16:57:12,586; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 8/3563
2026-02-10 16:57:12,606; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 12/3563
2026-02-10 16:57:12,666; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 8/3563
2026-02-10 16:57:12,683; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_9 (tol=0.5, factor=1.5): filtering 9/3563
2026-02-10 16:57:12,742; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_9 (tol=0.5, factor=1.5): filtering 2/3563
2026-02-10 16:57:12,760; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 5/3563
2026-02-10 16:57:12,821; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 0/3563
2026-02-10 16:57:12,839; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/3563
2026-02-10 16:57:12,904; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 1/3563
2026-02-10 16:57:12,965; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/3563
2026-02-10 16:57:12,982; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/3563
2026-02-10 16:57:13,046; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/3563
2026-02-10 16:57:13,137; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv
2026-02-10 16:57:13,137; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv file to read.
2026-02-10 16:57:13,352; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/ZAC_A.csv
2026-02-10 16:57:13,375; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_1 with NAN, flagged 0/3563
2026-02-10 16:57:13,380; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_10 with NAN, flagged 0/3563
2026-02-10 16:57:13,384; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_11 with NAN, flagged 0/3563
2026-02-10 16:57:13,389; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_2 with NAN, flagged 0/3563
2026-02-10 16:57:13,393; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_3 with NAN, flagged 0/3563
2026-02-10 16:57:13,398; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_4 with NAN, flagged 0/3563
2026-02-10 16:57:13,402; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_5 with NAN, flagged 0/3563
2026-02-10 16:57:13,406; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_6 with NAN, flagged 0/3563
2026-02-10 16:57:13,410; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_7 with NAN, flagged 0/3563
2026-02-10 16:57:13,414; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_8 with NAN, flagged 0/3563
2026-02-10 16:57:13,418; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-13 00:00:00 2025-04-22 00:00:00 t_i_9 with NAN, flagged 0/3563
2026-02-10 16:57:13,425; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-11-20 00:00:00 2024-04-23 00:00:00 z_boom_u with NAN, flagged 10/3563
2026-02-10 16:57:13,430; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-11-20 00:00:00 2024-04-23 00:00:00 z_boom_l with NAN, flagged 10/3563
2026-02-10 16:57:13,435; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-11-20 00:00:00 2024-04-23 00:00:00 dsr with NAN, flagged 10/3563
