KPC_L

 ======== test get_l2 ========= 

2026-02-10 16:02:04,473; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/KPC_L.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:02:04,559; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'KPC_L.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:02:04,673; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KPC_L_300234064126980_1.txt
2026-02-10 16:02:04,799; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KPC_L_300234064126980_1.txt
2026-02-10 16:02:04,805; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:02:05,609; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:02:06,501; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:02:07,112; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 0/30948
2026-02-10 16:02:07,470; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 2/30948
2026-02-10 16:02:07,851; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/30948
2026-02-10 16:02:07,895; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/30948
2026-02-10 16:02:08,257; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 6/30948
2026-02-10 16:02:08,615; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 2/30948
2026-02-10 16:02:08,638; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 1/30948
2026-02-10 16:02:08,979; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 0/30948
2026-02-10 16:02:09,001; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 1/30948
2026-02-10 16:02:09,335; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 0/30948
2026-02-10 16:02:09,356; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 0/30948
2026-02-10 16:02:09,705; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 21/30948
2026-02-10 16:02:10,040; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 1/30948
2026-02-10 16:02:10,062; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 0/30948
2026-02-10 16:02:10,444; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/30948
2026-02-10 16:02:10,785; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 0/30948
2026-02-10 16:02:11,130; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 0/30948
2026-02-10 16:02:11,469; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/30948
2026-02-10 16:02:11,806; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/30948
2026-02-10 16:02:12,147; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/30948
2026-02-10 16:02:12,486; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/30948
2026-02-10 16:02:13,130; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KPC_L.csv
2026-02-10 16:02:13,653; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KPC_L.csv
2026-02-10 16:02:13,666; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2008-10-10 00:00:00 2008-10-13 00:00:00 dlr with RIME, flagged 0/30948
2026-02-10 16:02:13,672; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2008-10-10 00:00:00 2008-10-13 00:00:00 ulr with RIME, flagged 0/30948
2026-02-10 16:02:13,675; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2008-10-10 00:00:00 2008-10-13 00:00:00 dsr with RIME, flagged 0/30948
2026-02-10 16:02:13,677; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2008-10-10 00:00:00 2008-10-13 00:00:00 usr with RIME, flagged 0/30948
2026-02-10 16:02:13,681; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-01-21 00:00:00 2009-01-27 00:00:00 dlr with RIME, flagged 0/30948
2026-02-10 16:02:13,684; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-01-21 00:00:00 2009-01-27 00:00:00 ulr with RIME, flagged 0/30948
2026-02-10 16:02:13,686; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-01-21 00:00:00 2009-01-27 00:00:00 dsr with RIME, flagged 0/30948
2026-02-10 16:02:13,689; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-01-21 00:00:00 2009-01-27 00:00:00 usr with RIME, flagged 0/30948
2026-02-10 16:02:13,693; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-02-15 00:00:00 2009-02-17 00:00:00 dlr with RIME, flagged 0/30948
2026-02-10 16:02:13,695; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-02-15 00:00:00 2009-02-17 00:00:00 ulr with RIME, flagged 0/30948
2026-02-10 16:02:13,698; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-02-15 00:00:00 2009-02-17 00:00:00 dsr with RIME, flagged 0/30948
2026-02-10 16:02:13,701; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-02-15 00:00:00 2009-02-17 00:00:00 usr with RIME, flagged 0/30948
2026-02-10 16:02:13,704; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-31 00:00:00 2009-11-02 00:00:00 dlr with RIME, flagged 0/30948
2026-02-10 16:02:13,707; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-31 00:00:00 2009-11-02 00:00:00 ulr with RIME, flagged 0/30948
2026-02-10 16:02:13,710; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-31 00:00:00 2009-11-02 00:00:00 dsr with RIME, flagged 0/30948
2026-02-10 16:02:13,712; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-31 00:00:00 2009-11-02 00:00:00 usr with RIME, flagged 0/30948
2026-02-10 16:02:13,716; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-12-10 00:00:00 2009-12-14 00:00:00 dlr with RIME, flagged 0/30948
2026-02-10 16:02:13,718; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-12-10 00:00:00 2009-12-14 00:00:00 ulr with RIME, flagged 0/30948
2026-02-10 16:02:13,721; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-12-10 00:00:00 2009-12-14 00:00:00 dsr with RIME, flagged 0/30948
2026-02-10 16:02:13,724; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-12-10 00:00:00 2009-12-14 00:00:00 usr with RIME, flagged 0/30948
2026-02-10 16:02:13,727; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-11-27 00:00:00 2012-11-30 00:00:00 dlr with RIME, flagged 0/30948
2026-02-10 16:02:13,730; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-11-27 00:00:00 2012-11-30 00:00:00 ulr with RIME, flagged 0/30948
2026-02-10 16:02:13,733; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-11-27 00:00:00 2012-11-30 00:00:00 dsr with RIME, flagged 0/30948
2026-02-10 16:02:13,735; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-11-27 00:00:00 2012-11-30 00:00:00 usr with RIME, flagged 0/30948
2026-02-10 16:02:13,739; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-01-05 00:00:00 2013-01-07 00:00:00 dlr with RIME, flagged 0/30948
2026-02-10 16:02:13,741; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-01-05 00:00:00 2013-01-07 00:00:00 ulr with RIME, flagged 0/30948
2026-02-10 16:02:13,744; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-01-05 00:00:00 2013-01-07 00:00:00 dsr with RIME, flagged 0/30948
2026-02-10 16:02:13,747; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-01-05 00:00:00 2013-01-07 00:00:00 usr with RIME, flagged 0/30948
2026-02-10 16:02:13,751; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-12-18 00:00:00 2013-12-23 00:00:00 dlr with RIME, flagged 0/30948
