CEN1

 ======== test get_l2 ========= 

2026-02-10 15:48:54,481; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//raw/config/CEN1.toml, inpath=../aws-l0//raw/CEN1/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 15:48:54,551; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'CEN1.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 15:48:54,565; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN1/CEN1_2019_raw.txt
2026-02-10 15:48:54,913; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN1/CEN1_2019_raw.txt
2026-02-10 15:48:55,679; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from CEN1_2019_raw.txt
2026-02-10 15:48:55,688; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN1/CEN1_2021_raw.txt
2026-02-10 15:48:56,089; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/CEN1/CEN1_2021_raw.txt
2026-02-10 15:48:56,881; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from CEN1_2021_raw.txt
2026-02-10 15:48:56,898; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 15:49:00,669; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 15:49:07,669; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
