MIT

 ======== test get_l2 ========= 

2026-02-10 16:10:56,872; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/MIT.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:10:56,933; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'MIT.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:10:56,951; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/MIT_300234061218580_1.txt
2026-02-10 16:10:57,012; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from MIT_300234061218580_1.txt
2026-02-10 16:10:57,013; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/MIT_300234061218580_2.txt
2026-02-10 16:10:57,055; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from MIT_300234061218580_2.txt
2026-02-10 16:10:57,068; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:10:58,214; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:10:58,717; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:10:59,143; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 0/15366
2026-02-10 16:10:59,330; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 1/15366
2026-02-10 16:10:59,537; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/15366
2026-02-10 16:10:59,576; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/15366
2026-02-10 16:10:59,809; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 13/15366
2026-02-10 16:11:00,085; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 3/15366
2026-02-10 16:11:00,106; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 0/15366
2026-02-10 16:11:00,329; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 2/15366
2026-02-10 16:11:00,538; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 1/15366
2026-02-10 16:11:00,565; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 2/15366
2026-02-10 16:11:00,786; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 1/15366
2026-02-10 16:11:00,805; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/15366
2026-02-10 16:11:00,982; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 2/15366
2026-02-10 16:11:01,157; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 0/15366
2026-02-10 16:11:01,176; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 1/15366
2026-02-10 16:11:01,351; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 1/15366
2026-02-10 16:11:01,370; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 1/15366
2026-02-10 16:11:01,544; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 0/15366
2026-02-10 16:11:01,563; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 5/15366
2026-02-10 16:11:01,737; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 0/15366
2026-02-10 16:11:01,756; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 4/15366
2026-02-10 16:11:01,935; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 4/15366
2026-02-10 16:11:01,953; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/15366
2026-02-10 16:11:02,130; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/15366
2026-02-10 16:11:02,310; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/15366
2026-02-10 16:11:02,642; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/MIT.csv
2026-02-10 16:11:02,963; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/MIT.csv
2026-02-10 16:11:02,973; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-12 00:00:00 2009-10-16 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:02,977; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-12 00:00:00 2009-10-16 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:02,980; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-12 00:00:00 2009-10-16 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:02,983; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-12 00:00:00 2009-10-16 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:02,986; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-11-18 00:00:00 2010-11-20 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:02,989; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-11-18 00:00:00 2010-11-20 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:02,991; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-11-18 00:00:00 2010-11-20 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:02,994; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-11-18 00:00:00 2010-11-20 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:02,997; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-01-20 00:00:00 2011-01-25 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,000; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-01-20 00:00:00 2011-01-25 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,003; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-01-20 00:00:00 2011-01-25 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,005; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-01-20 00:00:00 2011-01-25 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:03,009; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-02-09 00:00:00 2011-02-12 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,011; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-02-09 00:00:00 2011-02-12 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,014; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-02-09 00:00:00 2011-02-12 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,017; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-02-09 00:00:00 2011-02-12 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:03,020; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-03-31 00:00:00 2011-04-02 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,023; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-03-31 00:00:00 2011-04-02 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,025; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-03-31 00:00:00 2011-04-02 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,028; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-03-31 00:00:00 2011-04-02 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:03,031; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-06 00:00:00 2011-11-11 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,034; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-06 00:00:00 2011-11-11 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,037; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-06 00:00:00 2011-11-11 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,039; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-06 00:00:00 2011-11-11 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:03,043; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-08 00:00:00 2012-01-10 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,045; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-08 00:00:00 2012-01-10 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,048; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-08 00:00:00 2012-01-10 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,050; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-08 00:00:00 2012-01-10 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:03,054; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-02-10 00:00:00 2012-02-13 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,056; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-02-10 00:00:00 2012-02-13 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,059; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-02-10 00:00:00 2012-02-13 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,061; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-02-10 00:00:00 2012-02-13 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:03,065; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-10-23 00:00:00 2012-10-25 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,067; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-10-23 00:00:00 2012-10-25 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,070; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-10-23 00:00:00 2012-10-25 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,073; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-10-23 00:00:00 2012-10-25 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:03,076; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-05 00:00:00 2012-12-08 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,078; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-05 00:00:00 2012-12-08 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,081; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-05 00:00:00 2012-12-08 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,084; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-05 00:00:00 2012-12-08 00:00:00 usr with RIME, flagged 0/15366
2026-02-10 16:11:03,087; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-27 00:00:00 2012-12-30 00:00:00 dlr with RIME, flagged 0/15366
2026-02-10 16:11:03,090; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-27 00:00:00 2012-12-30 00:00:00 ulr with RIME, flagged 0/15366
2026-02-10 16:11:03,092; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-27 00:00:00 2012-12-30 00:00:00 dsr with RIME, flagged 0/15366
2026-02-10 16:11:03,095; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-27 00:00:00 2012-12-30 00:00:00 usr with RIME, flagged 0/15366
