SER_B

 ======== test get_l2 ========= 

2026-02-10 16:43:20,300; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/13808
2026-02-10 16:43:20,329; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/13808
2026-02-10 16:43:20,510; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 3/13808
2026-02-10 16:43:20,680; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/13808
2026-02-10 16:43:20,827; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SER_B.csv
2026-02-10 16:43:20,827; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/SER_B.csv file to read.
2026-02-10 16:43:21,106; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SER_B.csv
2026-02-10 16:43:21,107; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/SER_B.csv file to read.
2026-02-10 16:43:21,438; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SER_B.csv
2026-02-10 16:43:21,438; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/SER_B.csv file to read.
2026-02-10 16:43:22,553; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:43:22,684; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:43:22,769; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:43:23,600; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/SER_B/SER_B_hour.csv
2026-02-10 16:43:23,601; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/SER_B/SER_B_hour.nc

 ======== test join_l2 ========= 

2026-02-10 16:43:24,761; INFO; pypromice.pipeline.join_l2; SER_B array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/SER_B/SER_B_hour.nc
2026-02-10 16:43:24,762; INFO; pypromice.pipeline.join_l2; Only one file found /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/SER_B/SER_B_hour.nc...
2026-02-10 16:43:24,850; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:43:26,857; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/SER_B/SER_B_hour.csv
2026-02-10 16:43:26,857; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/SER_B/SER_B_hour.nc
2026-02-10 16:43:26,857; INFO; pypromice.pipeline.join_l2; Files saved to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/SER_B...

 ======== test l2tol3 ========= 

2026-02-10 16:43:27,004; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2026-02-10 16:43:27,016; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
