CEN2

 ======== test get_l2 ========= 

2026-02-10 15:48:54,485; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/CEN2.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 15:48:57,676; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 1/14000
2026-02-10 15:48:57,876; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/14000
2026-02-10 15:48:57,908; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_l (tol=2.0, factor=3.5): filtering 5/14000
2026-02-10 15:48:58,110; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_l (tol=2.0, factor=3.5): filtering 1/14000
2026-02-10 15:48:58,139; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 4/14000
2026-02-10 15:48:58,342; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/14000
2026-02-10 15:48:58,372; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_l (tol=0.5, factor=2.0): filtering 5/14000
2026-02-10 15:48:58,571; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_l (tol=0.5, factor=2.0): filtering 0/14000
2026-02-10 15:48:58,601; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 9/14000
2026-02-10 15:48:58,803; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 3/14000
2026-02-10 15:48:58,828; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 4/14000
2026-02-10 15:48:59,028; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 2/14000
2026-02-10 15:48:59,054; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 4/14000
2026-02-10 15:48:59,249; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 2/14000
2026-02-10 15:48:59,273; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 6/14000
2026-02-10 15:48:59,481; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 2/14000
2026-02-10 15:48:59,509; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 5/14000
2026-02-10 15:48:59,714; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 2/14000
2026-02-10 15:48:59,739; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 5/14000
2026-02-10 15:48:59,989; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 4/14000
2026-02-10 15:49:00,015; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 6/14000
2026-02-10 15:49:00,218; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 4/14000
2026-02-10 15:49:00,243; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 6/14000
2026-02-10 15:49:00,440; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 4/14000
2026-02-10 15:49:00,464; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 3/14000
2026-02-10 15:49:00,661; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 6/14000
2026-02-10 15:49:00,685; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_9 (tol=0.5, factor=1.5): filtering 3/14000
2026-02-10 15:49:00,886; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_9 (tol=0.5, factor=1.5): filtering 6/14000
2026-02-10 15:49:00,909; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 11/14000
2026-02-10 15:49:01,099; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_10 (tol=0.5, factor=1.5): filtering 3/14000
2026-02-10 15:49:01,114; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_l (tol=1.0, factor=2.0): filtering 0/14000
2026-02-10 15:49:01,316; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/14000
2026-02-10 15:49:01,518; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/14000
2026-02-10 15:49:01,718; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/14000
2026-02-10 15:49:01,920; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 8/14000
2026-02-10 15:49:02,121; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 1/14000
2026-02-10 15:49:02,303; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/CEN2.csv
2026-02-10 15:49:02,679; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/CEN2.csv
2026-02-10 15:49:02,728; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-08-23 00:00:00 2021-08-25 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,736; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-08-23 00:00:00 2021-08-25 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,741; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-08-23 00:00:00 2021-08-25 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,746; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-08-23 00:00:00 2021-08-25 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,752; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-24 00:00:00 2021-12-02 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,757; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-24 00:00:00 2021-12-02 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,761; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-24 00:00:00 2021-12-02 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,766; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-24 00:00:00 2021-12-02 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,772; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-19 00:00:00 2022-09-25 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,777; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-19 00:00:00 2022-09-25 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,782; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-19 00:00:00 2022-09-25 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,786; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-19 00:00:00 2022-09-25 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,792; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-29 00:00:00 2022-10-14 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,797; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-29 00:00:00 2022-10-14 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,801; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-29 00:00:00 2022-10-14 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,806; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-29 00:00:00 2022-10-14 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,812; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-20 00:00:00 2022-10-22 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,816; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-20 00:00:00 2022-10-22 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,821; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-20 00:00:00 2022-10-22 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,826; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-20 00:00:00 2022-10-22 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,831; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-25 00:00:00 2022-11-05 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,836; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-25 00:00:00 2022-11-05 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,840; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-25 00:00:00 2022-11-05 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,845; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-10-25 00:00:00 2022-11-05 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,850; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-11-11 00:00:00 2022-11-13 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,855; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-11-11 00:00:00 2022-11-13 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,859; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-11-11 00:00:00 2022-11-13 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,863; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-11-11 00:00:00 2022-11-13 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,869; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-11-18 00:00:00 2022-11-29 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,873; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-11-18 00:00:00 2022-11-29 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,878; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-11-18 00:00:00 2022-11-29 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,883; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-11-18 00:00:00 2022-11-29 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,888; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-11 00:00:00 2023-10-13 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,892; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-11 00:00:00 2023-10-13 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,897; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-11 00:00:00 2023-10-13 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,901; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-11 00:00:00 2023-10-13 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,906; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-28 00:00:00 2023-11-23 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,910; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-28 00:00:00 2023-11-23 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,915; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-28 00:00:00 2023-11-23 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,920; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-10-28 00:00:00 2023-11-23 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,925; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-06 00:00:00 2023-12-08 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,929; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-06 00:00:00 2023-12-08 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,933; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-06 00:00:00 2023-12-08 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,937; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-06 00:00:00 2023-12-08 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,943; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-11 00:00:00 2024-04-06 00:00:00 dlr with RIME, flagged 0/14000
2026-02-10 15:49:02,947; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-11 00:00:00 2024-04-06 00:00:00 ulr with RIME, flagged 0/14000
2026-02-10 15:49:02,951; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-11 00:00:00 2024-04-06 00:00:00 dsr with RIME, flagged 0/14000
2026-02-10 15:49:02,955; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-11 00:00:00 2024-04-06 00:00:00 usr with RIME, flagged 0/14000
2026-02-10 15:49:02,962; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-17 00:00:00 2024-09-19 00:00:00 dlr with RIME, flagged 49/14000
2026-02-10 15:49:02,968; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-17 00:00:00 2024-09-19 00:00:00 ulr with RIME, flagged 49/14000
2026-02-10 15:49:02,974; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-17 00:00:00 2024-09-19 00:00:00 dsr with RIME, flagged 49/14000
2026-02-10 15:49:02,980; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-09-17 00:00:00 2024-09-19 00:00:00 usr with RIME, flagged 49/14000
2026-02-10 15:49:02,987; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-18 00:00:00 2024-10-25 00:00:00 dlr with RIME, flagged 169/14000
2026-02-10 15:49:02,993; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-18 00:00:00 2024-10-25 00:00:00 ulr with RIME, flagged 169/14000
2026-02-10 15:49:02,999; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-18 00:00:00 2024-10-25 00:00:00 dsr with RIME, flagged 169/14000
2026-02-10 15:49:03,005; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-18 00:00:00 2024-10-25 00:00:00 usr with RIME, flagged 169/14000
2026-02-10 15:49:03,012; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-30 00:00:00 2024-11-01 00:00:00 dlr with RIME, flagged 49/14000
2026-02-10 15:49:03,018; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-30 00:00:00 2024-11-01 00:00:00 ulr with RIME, flagged 49/14000
2026-02-10 15:49:03,024; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-30 00:00:00 2024-11-01 00:00:00 dsr with RIME, flagged 49/14000
2026-02-10 15:49:03,030; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-10-30 00:00:00 2024-11-01 00:00:00 usr with RIME, flagged 49/14000
2026-02-10 15:49:03,036; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-24 17:00:00 2024-02-18 18:00:00 p_i with NAN, flagged 0/14000
2026-02-10 15:49:03,040; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-24 17:00:00 2024-02-18 18:00:00 p_u with NAN, flagged 0/14000
2026-02-10 15:49:03,044; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-24 17:00:00 2024-02-18 18:00:00 p_l with NAN, flagged 0/14000
2026-02-10 15:49:03,049; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_1 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,056; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_1 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,062; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_10 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,068; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_10 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,075; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_11 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,080; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_11 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,088; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_2 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,092; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_2 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,098; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_3 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,103; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_3 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,108; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_4 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,113; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_4 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,119; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_5 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,123; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_5 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,129; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_6 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,134; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_6 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,140; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_7 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,144; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_7 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,150; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_8 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,154; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_8 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,160; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-06-01 00:00:00 2024-05-15 07:00:00 t_i_9 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,165; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2022-06-19 00:00:00 t_i_9 with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,174; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-12 18:00:00 2025-06-01 00:00:00 wspd_l with NAN, flagged 5776/14000
2026-02-10 15:49:03,180; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-08-12 18:00:00 2025-06-01 00:00:00 wdir_l with NAN, flagged 5776/14000
2026-02-10 15:49:03,185; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-10 00:00:00 2024-05-15 00:00:00 wspd_l with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,188; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-10 00:00:00 2024-05-15 00:00:00 wspd_i with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,193; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-10 00:00:00 2024-05-15 00:00:00 wdir_l with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,198; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-10 00:00:00 2024-05-15 00:00:00 wdir_i with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,204; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-02-19 00:00:00 2024-05-15 00:00:00 wspd_u with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,208; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-02-19 00:00:00 2024-05-15 00:00:00 wdir_u with CONFIRMED, flagged 0/14000
2026-02-10 15:49:03,214; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2021-08-12 21:00:00 z_boom_u with NAN, flagged 0/14000
2026-02-10 15:49:03,219; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-05-15 14:00:00 2021-08-12 21:00:00 z_boom_l with NAN, flagged 0/14000
2026-02-10 15:49:03,762; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/CEN2.csv
2026-02-10 15:49:03,797; DEBUG; pypromice.core.qc.github_data_issues; ---> 2024-05-22 00:00:00 2024-09-16 00:00:00 p_u min_filter 780.0 flagged 10/14000
2026-02-10 15:49:03,804; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_1 min_filter -40.0 flagged 0/14000
2026-02-10 15:49:03,810; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_1 max_filter -2.0 flagged 72/14000
2026-02-10 15:49:03,816; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_10 max_filter -20.0 flagged 1/14000
2026-02-10 15:49:03,822; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_10 min_filter -40.0 flagged 0/14000
2026-02-10 15:49:03,827; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_10 max_filter -2.0 flagged 0/14000
2026-02-10 15:49:03,833; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_11 max_filter -20.0 flagged 4/14000
2026-02-10 15:49:03,839; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_11 min_filter -40.0 flagged 1/14000
2026-02-10 15:49:03,844; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_11 max_filter -2.0 flagged 0/14000
2026-02-10 15:49:03,851; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_2 min_filter -40.0 flagged 0/14000
2026-02-10 15:49:03,856; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_2 max_filter -2.0 flagged 0/14000
2026-02-10 15:49:03,863; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_3 min_filter -40.0 flagged 0/14000
2026-02-10 15:49:03,868; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_3 max_filter -2.0 flagged 0/14000
