NUK_P

 ======== test get_l2 ========= 

2026-02-10 16:23:42,328; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/NUK_P/NUK_P_hour.nc

 ======== test join_l2 ========= 

2026-02-10 16:23:43,446; INFO; pypromice.pipeline.join_l2; NUK_P array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/NUK_P/NUK_P_hour.nc
2026-02-10 16:23:43,446; INFO; pypromice.pipeline.join_l2; Only one file found /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/NUK_P/NUK_P_hour.nc...
2026-02-10 16:23:43,545; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:23:44,782; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/NUK_P/NUK_P_hour.csv
2026-02-10 16:23:44,782; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/NUK_P/NUK_P_hour.nc
2026-02-10 16:23:44,782; INFO; pypromice.pipeline.join_l2; Files saved to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/NUK_P...

 ======== test l2tol3 ========= 

2026-02-10 16:23:44,953; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2026-02-10 16:23:44,964; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2026-02-10 16:23:44,968; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2026-02-10 16:23:44,971; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2026-02-10 16:23:44,984; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_P.csv
2026-02-10 16:23:44,984; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/NUK_P.csv file to read.
2026-02-10 16:23:44,985; INFO; pypromice.pipeline.L2toL3; Combining surface height
2026-02-10 16:23:44,985; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2026-02-10 16:23:44,986; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2026-02-10 16:23:45,003; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:23:45,089; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:23:45,208; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:23:46,462; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/NUK_P/NUK_P_hour.csv
2026-02-10 16:23:46,462; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/NUK_P/NUK_P_hour.nc
2026-02-10 16:23:46,466; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:23:46,509; INFO; pypromice.io.write; Resampling to 1D
2026-02-10 16:23:46,596; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:23:47,007; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/NUK_P/NUK_P_day.csv
2026-02-10 16:23:47,008; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/NUK_P/NUK_P_day.nc
2026-02-10 16:23:47,012; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:23:47,059; INFO; pypromice.io.write; Resampling to MS
2026-02-10 16:23:47,167; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:23:47,767; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/NUK_P/NUK_P_month.csv
2026-02-10 16:23:47,768; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L3_test/stations/NUK_P/NUK_P_month.nc
