NUK_Uv3

 ======== test get_l2 ========= 

2026-02-10 16:23:38,086; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/NUK_Uv3.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:23:38,170; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'NUK_Uv3.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:23:38,193; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300234068420030_1.txt
2026-02-10 16:23:38,261; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300234068420030_1.txt
2026-02-10 16:23:38,383; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300234068420030_1.txt
2026-02-10 16:23:38,393; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300234068420030_2.txt
2026-02-10 16:23:38,462; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300234068420030_2.txt
2026-02-10 16:23:38,482; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300534062923450_3.txt
2026-02-10 16:23:38,502; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300534062923450_3.txt
2026-02-10 16:23:38,510; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300534063817730_4.txt
2026-02-10 16:23:38,528; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300534063817730_4.txt
2026-02-10 16:23:38,529; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300534063817730_5.txt
2026-02-10 16:23:38,575; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300534063817730_5.txt
2026-02-10 16:23:38,602; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:23:40,767; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:23:41,698; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:23:42,288; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 5/32995
2026-02-10 16:23:42,670; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 2/32995
2026-02-10 16:23:42,719; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 2/32995
2026-02-10 16:23:43,105; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/32995
2026-02-10 16:23:43,151; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/32995
2026-02-10 16:23:43,558; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 6/32995
2026-02-10 16:23:43,947; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 5/32995
2026-02-10 16:23:43,995; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 78/32995
2026-02-10 16:23:44,378; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 44/32995
2026-02-10 16:23:44,425; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 42/32995
2026-02-10 16:23:44,809; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 23/32995
2026-02-10 16:23:44,856; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 29/32995
2026-02-10 16:23:45,244; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 16/32995
2026-02-10 16:23:45,293; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 24/32995
2026-02-10 16:23:45,674; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 17/32995
